sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
86,BASANT SECURITIES PRIVATE LIMITED,INZ000165832,07693,434,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=434&h_MemType=members&memName=BASANT%20SECURITIES%20PRIVATE%20LIMITED
87,AJIT S SIAL,INB230079610,00796,629,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=629&h_MemType=members&memName=AJIT%20S%20SIAL
88,SHREE BAHUBALI STOCK BROKING LTD,INZ000103838,07818,586,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=586&h_MemType=members&memName=SHREE%20BAHUBALI%20STOCK%20BROKING%20LTD
89,GOENKA CAPITAL MARKET SERVICES,INZ000007039,06486,6,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=6&h_MemType=members&memName=GOENKA%20CAPITAL%20MARKET%20SERVICES
90,AMIT NALIN SECURITIES PVT LTD,INZ000244134,09807,14,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=14&h_MemType=members&memName=AMIT%20NALIN%20SECURITIES%20PVT%20LTD
91,CLSA INDIA PRIVATE LIMITED,INZ000001735,14991,58,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=58&h_MemType=members&memName=CLSA%20INDIA%20PRIVATE%20LIMITED
92,DAULAT SECURITIES LTD.,INZ000261035,06433,64,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=64&h_MemType=members&memName=DAULAT%20SECURITIES%20LTD.
93,SYKES & RAY EQUITIES (I) LTD.,INZ000199833,07277,281,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=281&h_MemType=members&memName=SYKES%20%26%20RAY%20EQUITIES%20%28I%29%20LTD.
94,UAE EXCHANGE & FINANCE LTD.,INZ000196935,06558,290,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=290&h_MemType=members&memName=UAE%20EXCHANGE%20%26%20FINANCE%20LTD.
95,KOTAK SECURITIES LTD.,INZ000200137,08081,291,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=291&h_MemType=members&memName=KOTAK%20SECURITIES%20LTD.
96,SANGHAVI SAVLA STOCKBROKERS LTD.,INZ000182234,07656,124,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=124&h_MemType=members&memName=SANGHAVI%20SAVLA%20STOCKBROKERS%20LTD.
97,DHARAMSHI SECURITIES PRIVATE LIMITED,INZ000202832,12786,125,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=125&h_MemType=members&memName=DHARAMSHI%20SECURITIES%20PRIVATE%20LIMITED
98,ARTHA VRDDHI SECURITIES LIMITED,INZ000002139,12213,135,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=135&h_MemType=members&memName=ARTHA%20VRDDHI%20SECURITIES%20LIMITED
