sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
83,AMARJEET SINGH,INZ000311411,90310,3180,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3180&h_MemType=members&memName=AMARJEET%20SINGH
84,AMBALAL SHARES & STOCKS PRIVATE LIMITED,INZ000219137,14329,2561,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2561&h_MemType=members&memName=AMBALAL%20SHARES%20%26%20STOCKS%20PRIVATE%20LIMITED
85,AMBIT BROKING SERVICES PRIVATE LIMITED,INZ000325835,90446,3315,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3315&h_MemType=members&memName=AMBIT%20BROKING%20SERVICES%20PRIVATE%20LIMITED
86,AMBIT CAPITAL PRIVATE LIMITED,INZ000259334,12476,1986,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1986&h_MemType=members&memName=AMBIT%20CAPITAL%20PRIVATE%20LIMITED
87,AMBIT SECURITIES BROKING PVT. LTD.,INZ000255231,12173,1934,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1934&h_MemType=members&memName=AMBIT%20SECURITIES%20BROKING%20PVT.%20LTD.
88,AMIT JASANI FINANCIAL SERVICES PVT. LTD.,INZ000280133,11072,1655,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1655&h_MemType=members&memName=AMIT%20JASANI%20FINANCIAL%20SERVICES%20PVT.%20LTD.
89,AMIT NALIN SECURITIES PVT LTD,INZ000244134,9807,14,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=14&h_MemType=members&memName=AMIT%20NALIN%20SECURITIES%20PVT%20LTD
90,AMOL FINANCIAL SERVICES PVT. LTD,INZ000246833,12720,2022,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2022&h_MemType=members&memName=AMOL%20FINANCIAL%20SERVICES%20PVT.%20LTD
91,AMRAPALI CAPITAL AND FINANCE SERVICES LTD.,INZ000269735,7588,432,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=432&h_MemType=members&memName=AMRAPALI%20CAPITAL%20AND%20FINANCE%20SERVICES%20LTD.
92,AMTIGER CONSULTANTS PRIVATE LIMITED,INZ000267931,90188,3065,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3065&h_MemType=members&memName=AMTIGER%20CONSULTANTS%20PRIVATE%20LIMITED
93,AMU SHARES & SECURITIES LTD.,INZ000277131,8344,17,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=17&h_MemType=members&memName=AMU%20SHARES%20%26%20SECURITIES%20LTD.
94,ANAND RATHI GLOBAL INTERMEDIARIES LIMITED,INZ000327038,90408,3279,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3279&h_MemType=members&memName=ANAND%20RATHI%20GLOBAL%20INTERMEDIARIES%20LIMITED
